left,right,axis,boundary,pair_samples,pair_acc
dry_asphalt_severe,dry_asphalt_slight,roughness,roughness,3150,0.8977777777777778
dry_asphalt_severe,dry_asphalt_smooth,roughness,roughness,3150,0.9133333333333333
dry_asphalt_severe,dry_concrete_severe,material,asphalt_concrete,3150,0.88
dry_asphalt_severe,water_asphalt_severe,friction,friction_dry_vs_water,1600,0.86875
dry_asphalt_severe,wet_asphalt_severe,friction,dry_wet,1600,0.88375
dry_asphalt_slight,dry_asphalt_smooth,roughness,roughness,4700,0.9031914893617021
dry_asphalt_slight,dry_concrete_slight,material,asphalt_concrete,4700,0.8587234042553191
dry_asphalt_slight,water_asphalt_slight,friction,friction_dry_vs_water,3150,0.886984126984127
dry_asphalt_slight,wet_asphalt_slight,friction,dry_wet,4700,0.8917021276595745
dry_asphalt_smooth,dry_concrete_smooth,material,asphalt_concrete,4700,0.9085106382978724
dry_asphalt_smooth,water_asphalt_smooth,friction,friction_dry_vs_water,4700,0.9202127659574468
dry_asphalt_smooth,wet_asphalt_smooth,friction,dry_wet,4700,0.9176595744680851
dry_concrete_severe,dry_concrete_slight,roughness,roughness,4700,0.8468085106382979
dry_concrete_severe,dry_concrete_smooth,roughness,roughness,4700,0.8861702127659574
dry_concrete_severe,water_concrete_severe,friction,friction_dry_vs_water,3150,0.8625396825396825
dry_concrete_severe,wet_concrete_severe,friction,dry_wet,3150,0.854920634920635
dry_concrete_slight,dry_concrete_smooth,roughness,roughness,4700,0.8640425531914894
dry_concrete_slight,water_concrete_slight,friction,friction_dry_vs_water,3150,0.8015873015873016
dry_concrete_slight,wet_concrete_slight,friction,dry_wet,3150,0.827936507936508
dry_concrete_smooth,water_concrete_smooth,friction,friction_dry_vs_water,4700,0.8938297872340426
dry_concrete_smooth,wet_concrete_smooth,friction,dry_wet,4700,0.8876595744680851
dry_gravel,dry_mud,material,mud_gravel,4700,0.9308510638297872
dry_gravel,water_gravel,friction,friction_dry_vs_water,3150,0.9133333333333333
dry_gravel,wet_gravel,friction,dry_wet,4700,0.9276595744680851
dry_mud,water_mud,friction,friction_dry_vs_water,4700,0.9406382978723404
dry_mud,wet_mud,friction,dry_wet,4700,0.9238297872340425
fresh_snow,ice,friction,snow_ice,4700,0.987872340425532
fresh_snow,melted_snow,friction,snow_phase,4700,0.99
ice,melted_snow,friction,snow_ice,4700,0.9893617021276596
water_asphalt_severe,water_asphalt_slight,roughness,roughness,1600,0.8475
water_asphalt_severe,water_asphalt_smooth,roughness,roughness,3150,0.900952380952381
water_asphalt_severe,water_concrete_severe,material,asphalt_concrete,1600,0.834375
water_asphalt_severe,wet_asphalt_severe,friction,wet_water,1600,0.84
water_asphalt_slight,water_asphalt_smooth,roughness,roughness,3150,0.9123809523809524
water_asphalt_slight,water_concrete_slight,material,asphalt_concrete,1600,0.801875
water_asphalt_slight,wet_asphalt_slight,friction,wet_water,3150,0.8853968253968254
water_asphalt_smooth,water_concrete_smooth,material,asphalt_concrete,4700,0.9055319148936171
water_asphalt_smooth,wet_asphalt_smooth,friction,wet_water,4700,0.9242553191489362
water_concrete_severe,water_concrete_slight,roughness,roughness,1600,0.78875
water_concrete_severe,water_concrete_smooth,roughness,roughness,3150,0.873968253968254
water_concrete_severe,wet_concrete_severe,friction,wet_water,1600,0.82875
water_concrete_slight,water_concrete_smooth,roughness,roughness,3150,0.846031746031746
water_concrete_slight,wet_concrete_slight,friction,wet_water,1600,0.785625
water_concrete_smooth,wet_concrete_smooth,friction,wet_water,4700,0.8780851063829788
water_gravel,water_mud,material,mud_gravel,3150,0.927936507936508
water_gravel,wet_gravel,friction,wet_water,3150,0.9228571428571428
water_mud,wet_mud,friction,wet_water,4700,0.9240425531914893
wet_asphalt_severe,wet_asphalt_slight,roughness,roughness,3150,0.8815873015873016
wet_asphalt_severe,wet_asphalt_smooth,roughness,roughness,3150,0.9047619047619048
wet_asphalt_severe,wet_concrete_severe,material,asphalt_concrete,1600,0.834375
wet_asphalt_slight,wet_asphalt_smooth,roughness,roughness,4700,0.9061702127659574
wet_asphalt_slight,wet_concrete_slight,material,asphalt_concrete,3150,0.8771428571428571
wet_asphalt_smooth,wet_concrete_smooth,material,asphalt_concrete,4700,0.8968085106382979
wet_concrete_severe,wet_concrete_slight,roughness,roughness,1600,0.825625
wet_concrete_severe,wet_concrete_smooth,roughness,roughness,3150,0.8571428571428571
wet_concrete_slight,wet_concrete_smooth,roughness,roughness,3150,0.8631746031746032
wet_gravel,wet_mud,material,mud_gravel,4700,0.9206382978723404
