class,precision,recall,f1,support
dry_asphalt_severe,0.8239277652370203,0.9125,0.8659549228944247,800.0
dry_asphalt_slight,0.9109856708640903,0.8927659574468085,0.9017837954008167,2350.0
dry_asphalt_smooth,0.9330725771403737,0.9136170212765957,0.9232423134809719,2350.0
dry_concrete_severe,0.8619670747150696,0.8689361702127659,0.86543759271032,2350.0
dry_concrete_slight,0.8404163052905465,0.8246808510638298,0.8324742268041238,2350.0
dry_concrete_smooth,0.934007919049714,0.9034042553191489,0.918451222150119,2350.0
dry_gravel,0.927592116538132,0.9212765957446809,0.9244235695986337,2350.0
dry_mud,0.9360440491317239,0.9404255319148936,0.9382296752281893,2350.0
fresh_snow,0.9901960784313726,0.9885106382978723,0.9893526405451448,2350.0
ice,0.983467571004663,0.9872340425531915,0.9853472074750478,2350.0
melted_snow,0.9785804283914322,0.9914893617021276,0.984992601986895,2350.0
water_asphalt_severe,0.8538163001293662,0.825,0.8391608391608392,800.0
water_asphalt_slight,0.7280334728033473,0.87,0.7927107061503417,800.0
water_asphalt_smooth,0.9486062717770035,0.9268085106382978,0.9375807145931985,2350.0
water_concrete_severe,0.7785467128027682,0.84375,0.8098380323935213,800.0
water_concrete_slight,0.7816245006657789,0.73375,0.7569310122501612,800.0
water_concrete_smooth,0.8876548483554036,0.8842553191489362,0.8859518226390961,2350.0
water_gravel,0.8317757009345794,0.89,0.8599033816425121,800.0
water_mud,0.9444681759931653,0.9408510638297872,0.942656150074611,2350.0
wet_asphalt_severe,0.9181208053691275,0.855,0.8854368932038835,800.0
wet_asphalt_slight,0.8898809523809523,0.8906382978723404,0.8902594640578477,2350.0
wet_asphalt_smooth,0.9205269868253294,0.9217021276595745,0.9211141824367425,2350.0
wet_concrete_severe,0.857707509881423,0.81375,0.8351507376523413,800.0
wet_concrete_slight,0.7727797001153403,0.8375,0.8038392321535693,800.0
wet_concrete_smooth,0.8760153911928175,0.8719148936170212,0.8739603326935381,2350.0
wet_gravel,0.9265512874630646,0.9340425531914893,0.9302818393727484,2350.0
wet_mud,0.9205526770293609,0.9072340425531915,0.9138448349764252,2350.0
