left,right,axis,boundary,pair_samples,pair_acc
dry_asphalt_severe,dry_asphalt_slight,roughness,roughness,240,0.9041666666666667
dry_asphalt_severe,dry_asphalt_smooth,roughness,roughness,240,0.9166666666666666
dry_asphalt_severe,dry_concrete_severe,material,asphalt_concrete,240,0.8916666666666667
dry_asphalt_severe,water_asphalt_severe,friction,friction_dry_vs_water,240,0.825
dry_asphalt_severe,wet_asphalt_severe,friction,dry_wet,240,0.9041666666666667
dry_asphalt_slight,dry_asphalt_smooth,roughness,roughness,240,0.9125
dry_asphalt_slight,dry_concrete_slight,material,asphalt_concrete,240,0.825
dry_asphalt_slight,water_asphalt_slight,friction,friction_dry_vs_water,240,0.8833333333333333
dry_asphalt_slight,wet_asphalt_slight,friction,dry_wet,240,0.8916666666666667
dry_asphalt_smooth,dry_concrete_smooth,material,asphalt_concrete,240,0.9125
dry_asphalt_smooth,water_asphalt_smooth,friction,friction_dry_vs_water,240,0.9333333333333333
dry_asphalt_smooth,wet_asphalt_smooth,friction,dry_wet,240,0.9333333333333333
dry_concrete_severe,dry_concrete_slight,roughness,roughness,240,0.8125
dry_concrete_severe,dry_concrete_smooth,roughness,roughness,240,0.8875
dry_concrete_severe,water_concrete_severe,friction,friction_dry_vs_water,240,0.8791666666666667
dry_concrete_severe,wet_concrete_severe,friction,dry_wet,240,0.8583333333333333
dry_concrete_slight,dry_concrete_smooth,roughness,roughness,240,0.825
dry_concrete_slight,water_concrete_slight,friction,friction_dry_vs_water,240,0.7833333333333333
dry_concrete_slight,wet_concrete_slight,friction,dry_wet,240,0.8166666666666667
dry_concrete_smooth,water_concrete_smooth,friction,friction_dry_vs_water,240,0.8833333333333333
dry_concrete_smooth,wet_concrete_smooth,friction,dry_wet,240,0.8958333333333334
dry_gravel,dry_mud,material,mud_gravel,240,0.9208333333333333
dry_gravel,water_gravel,friction,friction_dry_vs_water,240,0.9125
dry_gravel,wet_gravel,friction,dry_wet,240,0.9125
dry_mud,water_mud,friction,friction_dry_vs_water,240,0.9583333333333334
dry_mud,wet_mud,friction,dry_wet,240,0.9208333333333333
fresh_snow,ice,friction,snow_ice,240,0.9791666666666666
fresh_snow,melted_snow,friction,snow_phase,240,0.9875
ice,melted_snow,friction,snow_ice,240,0.9833333333333333
water_asphalt_severe,water_asphalt_slight,roughness,roughness,240,0.8041666666666667
water_asphalt_severe,water_asphalt_smooth,roughness,roughness,240,0.8416666666666667
water_asphalt_severe,water_concrete_severe,material,asphalt_concrete,240,0.8125
water_asphalt_severe,wet_asphalt_severe,friction,wet_water,240,0.8208333333333333
water_asphalt_slight,water_asphalt_smooth,roughness,roughness,240,0.9041666666666667
water_asphalt_slight,water_concrete_slight,material,asphalt_concrete,240,0.8416666666666667
water_asphalt_slight,wet_asphalt_slight,friction,wet_water,240,0.875
water_asphalt_smooth,water_concrete_smooth,material,asphalt_concrete,240,0.9041666666666667
water_asphalt_smooth,wet_asphalt_smooth,friction,wet_water,240,0.9416666666666667
water_concrete_severe,water_concrete_slight,roughness,roughness,240,0.85
water_concrete_severe,water_concrete_smooth,roughness,roughness,240,0.875
water_concrete_severe,wet_concrete_severe,friction,wet_water,240,0.8625
water_concrete_slight,water_concrete_smooth,roughness,roughness,240,0.8416666666666667
water_concrete_slight,wet_concrete_slight,friction,wet_water,240,0.85
water_concrete_smooth,wet_concrete_smooth,friction,wet_water,240,0.8791666666666667
water_gravel,water_mud,material,mud_gravel,240,0.95
water_gravel,wet_gravel,friction,wet_water,240,0.9333333333333333
water_mud,wet_mud,friction,wet_water,240,0.9291666666666667
wet_asphalt_severe,wet_asphalt_slight,roughness,roughness,240,0.8916666666666667
wet_asphalt_severe,wet_asphalt_smooth,roughness,roughness,240,0.9208333333333333
wet_asphalt_severe,wet_concrete_severe,material,asphalt_concrete,240,0.8708333333333333
wet_asphalt_slight,wet_asphalt_smooth,roughness,roughness,240,0.9125
wet_asphalt_slight,wet_concrete_slight,material,asphalt_concrete,240,0.8833333333333333
wet_asphalt_smooth,wet_concrete_smooth,material,asphalt_concrete,240,0.9166666666666666
wet_concrete_severe,wet_concrete_slight,roughness,roughness,240,0.8625
wet_concrete_severe,wet_concrete_smooth,roughness,roughness,240,0.8666666666666667
wet_concrete_slight,wet_concrete_smooth,roughness,roughness,240,0.8875
wet_gravel,wet_mud,material,mud_gravel,240,0.9125
